Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUS
2017-2018,Coal Mining Industry (Long Service Leave Funding) Corporation,TRUE,Department of Jobs and Small Business,Employment,FALSE,17/07/2018 10:04,FALSE,0,5,8,0,2,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0
2017-2018,Comcare,TRUE,Comcare,Employment,FALSE,18/07/2018 11:29,FALSE,3,12,5784,88,161,249,0,0,0,0,0,0,0,0,890,0,0,0,8126,0,0,0,0,0
2017-2018,Commonwealth Environmental Water Holder,TRUE,Department of the Environment and Energy,Environment,FALSE,6/10/2017 12:58,FALSE,0,4,0,4,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Commonwealth Grants Commission,TRUE,,Treasury,FALSE,10/07/2018 9:52,FALSE,0,3,5,43,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Commonwealth Ombudsman,TRUE,,Prime Minister and Cabinet,FALSE,24/07/2018 14:02,FALSE,1,4,3135,0,0,0,0,0,0,1,2,0,0,0,278,0,0,0,9288,0,622,0,0,0
2017-2018,Commonwealth Scientific and Industrial Research Organisation (CSIRO),TRUE,,"Industry, Innovation and Science",FALSE,9/07/2018 13:15,FALSE,2,0,1460,0,100,1040,0,0,0,2,5,0,0,20,250,0,20000,0,0,0,400,0,0,0
2017-2018,Commonwealth Superannuation Corporation (previously ARIA),TRUE,,Finance,FALSE,19/07/2018 11:35,FALSE,0,2,261,0,0,0,0,0,0,1,1175,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Companies Auditors and Liquidators Disciplinary Board,TRUE,Department of the Treasury,Treasury,TRUE,24/07/2018 14:34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Complaints Resolution Panel (Therapeutic good advertising),FALSE,Department of Health,Health,TRUE,14/06/2018 16:50,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Copyright Tribunal of Australia,TRUE,,Communications and the Arts,TRUE,30/07/2018 15:00,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
