Report year,Agency name,Is agency active,Administrating Agency Name,Portfolio,Nil return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUS
2017-2018,Aboriginal Benefit Account Advisory Committee,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,27/07/2018 15:02,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Aboriginal Hostels Limited,TRUE,,Prime Minister and Cabinet,FALSE,13/07/2018 12:40,FALSE,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Administrative Appeals Tribunal,TRUE,,Attorney-General's,FALSE,10/07/2018 17:33,FALSE,3,119,5950,6,0,52,0,0,0,3,6,0,0,2,10694,0,0,0,0,0,755,0,0,0
2017-2018,Admiralty Rules Committee,TRUE,Attorney-General's Department,Attorney-General's,TRUE,10/07/2018 16:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Biologicals,TRUE,Department of Health,Health,TRUE,14/06/2018 16:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Chemicals Scheduling ,TRUE,Department of Health,Health,TRUE,14/06/2018 16:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Complementary Medicines,TRUE,Department of Health,Health,TRUE,14/06/2018 16:41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Medical Devices ,TRUE,Department of Health,Health,TRUE,14/06/2018 16:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Medicines Scheduling ,TRUE,Department of Health,Health,TRUE,14/06/2018 16:42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Non-prescription Medicines ,TRUE,Department of Health,Health,TRUE,14/06/2018 16:43,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on Prescription Medicines,TRUE,Department of Health,Health,TRUE,14/06/2018 16:43,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on the Safety of Medical Devices,TRUE,Department of Health,Health,TRUE,14/06/2018 16:44,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Advisory Committee on the Safety of Medicines,TRUE,Department of Health,Health,TRUE,14/06/2018 16:44,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Aged Care Complaints Commissioner,TRUE,,Health,FALSE,10/07/2018 10:12,FALSE,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,AgriFutures,TRUE,,Agriculture and Water Resources,FALSE,27/07/2018 13:31,FALSE,0,3,15,6,4,5,0,0,0,3,5,0,0,0,0,0,88,0,0,0,706,0,0,0
2017-2018,Airservices Australia,TRUE,,Infrastructure and Regional Development,FALSE,20/07/2018 11:14,FALSE,2,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Army and Air Force Canteen Service,TRUE,,Defence,FALSE,4/07/2018 8:24,FALSE,0,2,12,0,1,0,0,0,0,3,40,0,1,8,0,0,0,0,0,0,0,0,0,0
2017-2018,Asbestos Safety and Eradication Agency,TRUE,,Employment,FALSE,4/05/2018 14:48,FALSE,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister for Agriculture and Water Resources,TRUE,Department of Agriculture and Water Resources,Agriculture and Water Resources,TRUE,11/07/2018 10:53,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister for Children and Families,TRUE,Department of Social Services,Social Services,TRUE,5/07/2018 14:26,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister for Cities and Digital Transformation,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,27/07/2018 15:03,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister for Health,FALSE,Department of Health,Health,TRUE,31/07/2018 14:36,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister for Home Affairs,TRUE,Department of Home Affairs,Home Affairs,FALSE,31/07/2018 12:33,FALSE,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,"Assistant Minister for Industry, Innovation and Science",TRUE,"Department of Industry, Innovation and Science","Industry, Innovation and Science",TRUE,5/07/2018 16:08,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister for Social Services and Disability Services,TRUE,Department of Social Services,Social Services,TRUE,9/07/2018 13:18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister for Social Services and Multicultural Affairs,FALSE,Department of Social Services,Social Services,TRUE,18/01/2018 15:10,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,"Assistant Minister for Trade, Tourism and Investment",TRUE,Department of Foreign Affairs and Trade,Foreign Affairs and Trade,TRUE,1/08/2018 8:58,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister for Treasury and Finance,TRUE,Department of the Treasury,Treasury,FALSE,24/07/2018 13:51,FALSE,0,3,0,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister for Vocational Education and Skills,TRUE,Department of Education and Training,Education and Training,TRUE,30/07/2018 12:16,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister to the Deputy Prime Minister,TRUE,"Department of Infrastructure, Regional Development and Cities",Infrastructure and Regional Development,FALSE,31/07/2018 16:46,FALSE,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Minister to the Prime Minister,TRUE,Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,TRUE,27/07/2018 15:04,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Assistant Treasurer,TRUE,Department of the Treasury,Treasury,FALSE,24/07/2018 13:46,FALSE,0,3,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Attorney-General,TRUE,Attorney-General's Department,Attorney-General's,FALSE,10/07/2018 16:08,FALSE,0,20,0,0,0,0,180,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Attorney-General's Department,TRUE,Attorney-General's Department,Attorney-General's,FALSE,10/07/2018 15:31,FALSE,5,316,6354,389,1167,778,0,0,0,0,0,0,5,8,2430,0,0,0,0,0,1630,0,0,0
2017-2018,Auditing and Assurance Standards Board,TRUE,,Treasury,TRUE,6/07/2018 17:13,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australasian Procurement and Construction Council Inc,TRUE,Department of Finance,Finance,TRUE,18/07/2018 12:05,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australia Council for the Arts,TRUE,,Attorney-General's,FALSE,6/07/2018 12:25,FALSE,1,0,0,8,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Accounting Standards Board,TRUE,,Treasury,TRUE,6/07/2018 17:12,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Aged Care Quality Agency,TRUE,,Social Services,FALSE,6/07/2018 15:05,FALSE,0,2,0,90,0,500,0,0,0,1,0,10,0,0,0,0,1241,0,22214,0,0,0,0,0
2017-2018,Australian Broadcasting Corporation,TRUE,,Communications and the Arts,FALSE,26/07/2018 16:32,FALSE,0,7,263,15,117,6,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Building and Construction Commission,TRUE,,Employment,FALSE,12/06/2018 11:56,FALSE,1,4,400,50,450,0,0,0,0,3,200,0,100,0,2000,0,115639,0,24699,0,0,0,0,0
2017-2018,Australian Bureau of Statistics,TRUE,Australian Bureau of Statistics,Treasury,FALSE,31/07/2018 10:23,FALSE,2,139,2636,138,189,139,0,0,0,0,0,0,0,0,100,0,0,0,0,0,3312,0,0,0
2017-2018,Australian Centre for International Agricultural Research,TRUE,,Foreign Affairs and Trade,FALSE,23/07/2018 13:16,FALSE,0,3,270,1,1,0,0,0,0,3,10,1,1,0,0,0,20000,0,0,0,0,0,0,0
2017-2018,Australian Charities and Not-for-Profits Commission,TRUE,,Treasury,FALSE,30/07/2018 11:43,FALSE,0,4,122,0,10,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,920,0,0,0
2017-2018,Australian Commission for Law Enforcement Integrity,TRUE,,Attorney-General's,FALSE,12/07/2018 11:28,FALSE,0,4,240,30,0,0,0,0,0,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Communications and Media Authority,TRUE,,Communications and the Arts,FALSE,11/07/2018 11:16,FALSE,0,29,120,51,920,0,0,0,0,2,10,2,11,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Community Pharmacy Authority,TRUE,Department of Health,Health,TRUE,14/06/2018 16:44,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Competition and Consumer Commission,TRUE,Australian Competition and Consumer Commission,Treasury,FALSE,11/07/2018 11:13,FALSE,2,22,3471,99,1119,64,0,0,0,0,0,0,0,0,2706,0,18508,0,0,0,585,0,0,0
2017-2018,Australian Competition Tribunal,TRUE,,Treasury,FALSE,9/07/2018 10:41,FALSE,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Criminal Intelligence Commission,TRUE,,Home Affairs,FALSE,17/07/2018 13:58,FALSE,1,8,1800,100,120,5,5,5,0,0,0,0,0,0,0,0,1221,0,107002,0,0,0,0,0
2017-2018,"Australian Curriculum, Assessment and Reporting Authority",TRUE,,Education and Training,FALSE,10/07/2018 12:38,FALSE,0,5,214,10,35,8,0,0,0,5,5,1,5,1,0,0,18796,0,0,0,0,0,0,0
2017-2018,Australian Digital Health Agency,TRUE,,Health,FALSE,18/07/2018 10:19,FALSE,0,9,480,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0,0
2017-2018,Australian Electoral Commission,TRUE,,Finance,FALSE,18/07/2018 15:25,FALSE,0,3,1650,100,500,600,0,0,0,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Energy Regulator,TRUE,Australian Competition and Consumer Commission,Treasury,TRUE,19/07/2018 10:24,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Federal Police,TRUE,,Home Affairs,FALSE,19/07/2018 16:21,FALSE,6,660,11009,1320,5280,8140,0,0,0,22,154,6,55,165,0,0,36839,0,43449,0,9900,0,153827,0
2017-2018,"Australian Film, Television and Radio School",TRUE,,Communications and the Arts,FALSE,26/07/2018 16:01,FALSE,0,19,54,0,3,6,0,0,0,0,7,0,3,0,250,40,3719,0,0,0,0,0,0,0
2017-2018,Australian Financial Security Authority,TRUE,,Attorney-General's,FALSE,23/07/2018 16:11,FALSE,0,25,500,10,20,50,0,0,0,1,20,1,0,0,2000,0,0,0,0,0,0,0,0,0
2017-2018,Australian Fisheries Management Authority,TRUE,,Agriculture and Water Resources,FALSE,1/08/2018 14:51,FALSE,0,3,10,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1200,0,0,0
2017-2018,Australian Grape and Wine Authority ,TRUE,,Agriculture and Water Resources,TRUE,24/07/2018 9:55,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Hearing,TRUE,,Social Services,FALSE,19/07/2018 12:09,FALSE,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Heritage Council,TRUE,Department of the Environment and Energy,Environment,TRUE,22/06/2018 12:15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Human Rights Commission,TRUE,,Attorney-General's,FALSE,26/03/2018 15:55,FALSE,0,5,199,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Institute of Aboriginal and Torres Strait Islander Studies,TRUE,,Education and Training,TRUE,30/07/2018 14:07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Australian Institute of Criminology,TRUE,,Attorney-General's,FALSE,17/07/2018 11:36,FALSE,0,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
