Report year,Agency Name,Is agency active,Administrating Agency Name,Portfolio,nil_return,Date created,Last return by agency,Staff spending 75 per cent plus time on FOI,Staff spending more than 0 less than 75 per cent time on FOI,Estimated APS staff hours where normal duties include FOI,Estimated SES staff hours where normal duties include FOI,Estimated staff hours APS 6 and EL1 to 2 involved in FOI,Estimated staff hours APS 1 to 5 involved in FOI,Estimated staff hours ministers and advisers involved in FOI,Estimated staff hours other ministerial staff involved in FOI,Staff spending 75 per cent time plus on IPS,Staff spending more than 0 less than 75 per cent time on IPS,Estimated APS staff hours where normal duties include IPS,Estimated SES staff hours where normal duties include IPS,Estimated staff hours APS 6 and EL1 to 2 involved in IPS,Estimated staff hours APS 1 to 5 involved in IPS,Admin costs FOI AUD,Admin costs IPS AUD,Legal costs FOI AUD,Legal costs IPS AUD,Litigation costs FOI AUD,Litigation costs IPS AUD,Training costs FOI AUD,Training costs IPS AUD,Other costs FOI AUD,Other costs IPS AUD
2019,Australian Building and Construction Commission,TRUE,,Attorney-General's,FALSE,23/07/2019 9:52,0,1,3,2700,0,1000,0,0,0,0,3,100,0,300,0,2000,0,28641,0,160655,0,0,0,0,0
2019,Australian Bureau of Statistics,TRUE,Australian Bureau of Statistics,Treasury,FALSE,24/07/2019 15:10,0,0,152,537,179,87,51,0,0,0,1,30,0,3,0,0,0,6799,0,22760,0,5796,0,0,0
2019,Australian Centre for International Agricultural Research,TRUE,,Foreign Affairs and Trade,FALSE,18/07/2019 12:21,0,0,4,45,10,10,0,0,0,0,4,0,0,5,0,0,0,28000,0,0,0,0,0,0,0
2019,Australian Charities and Not-for-Profits Commission,TRUE,,Treasury,FALSE,19/08/2019 15:31,0,0,5,100,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Commission for Law Enforcement Integrity,TRUE,,Attorney-General's,FALSE,10/07/2019 8:58,0,0,3,100,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,685,0,0,0
2019,Australian Commission on Safety and Quality in Health Care,TRUE,Australian Commission on Safety and Quality in Health Care,Health,FALSE,23/07/2019 10:57,0,0,2,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0,0,0
2019,Australian Communications and Media Authority,TRUE,,Communications and the Arts,FALSE,31/07/2019 10:27,0,0,50,160,20,1025,3,0,0,0,2,40,2,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Community Pharmacy Authority,TRUE,Department of Health,Health,TRUE,4/07/2019 12:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Competition and Consumer Commission,TRUE,Australian Competition and Consumer Commission,Treasury,FALSE,15/07/2019 12:23,0,2,14,3662,100,1092,37,0,0,0,0,0,0,0,0,2609,0,17351,0,0,0,4000,0,0,0
2019,Australian Competition Tribunal,TRUE,,Treasury,FALSE,8/07/2019 17:00,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Criminal Intelligence Commission,TRUE,,Home Affairs,FALSE,16/07/2019 11:27,0,1,5,1800,104,116,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"Australian Curriculum, Assessment and Reporting Authority",TRUE,,Education,FALSE,15/07/2019 10:06,0,0,5,165,28,0,3,0,0,0,5,3,2,0,7,0,0,10864,0,0,0,0,0,0,0
2019,Australian Digital Health Agency,TRUE,,Health,FALSE,19/08/2019 22:18,0,2,24,3333,145,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16504,0,0,0
2019,Australian Electoral Commission,TRUE,,Finance,FALSE,17/07/2019 11:57,0,1650,0,1650,100,500,600,0,0,20,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Energy Regulator,TRUE,Australian Competition and Consumer Commission,Treasury,TRUE,15/07/2019 12:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Federal Police,TRUE,,Home Affairs,FALSE,9/11/2018 9:46,0,8,669,11559,1320,5280,8140,0,0,0,22,161,6,55,165,0,0,2430,0,7925,0,2382,0,48212,0
2019,"Australian Film, Television and Radio School",TRUE,,Communications and the Arts,FALSE,22/07/2019 19:47,0,0,6,6,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Financial Security Authority,TRUE,,Attorney-General's,FALSE,29/07/2019 13:07,0,0,25,550,15,30,50,0,0,0,1,10,0,0,0,2500,0,0,0,0,0,0,0,0,0
2019,Australian Fisheries Management Authority,TRUE,,Agriculture,FALSE,15/05/2019 11:39,0,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Hearing Services,TRUE,,Social Services,FALSE,8/07/2019 15:37,0,0,8,6,0,1,5,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Heritage Council,TRUE,,Environment and Energy,TRUE,11/01/2019 11:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Human Rights Commission,TRUE,,Attorney-General's,FALSE,30/05/2019 10:52,0,0,8,160,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Australian Institute of Aboriginal and Torres Strait Islander Studies,TRUE,,Prime Minister and Cabinet,FALSE,19/08/2019 18:08,0,0,8,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
